ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 22-01-2018 13:00:00, ON, Stop1, Company1, Bus37, 4911830000000
2, 22-01-2018 13:10:00, ON, Stop3, Company1, Bus37, 4444333322221111
3, 22-01-2018 13:15:00, OFF, Stop2, Company1, Bus37, 4444333322221111
4, 22-01-2018 13:25:00, OFF, Stop2, Company1, Bus37, 4911830000000
5, 22-01-2018 13:30:00, ON, Stop1, Company1, Bus37, 6759649826438453
6, 22-01-2018 13:50:20, ON, Stop1, Company1, Bus37, 6759649826438453
7, 22-01-2018 13:55:30, OFF, Stop3, Company1, Bus37, 6759649826438453
8, 22-01-2018 14:50:00, ON, Stop1, Company1, Bus37, 6759649826438453
9, 22-01-2018 14:55:00, OFF, Stop1, Company1, Bus37, 6759649826438453
10, 22-01-2018 14:52:10, ON, Stop1, Company1, Bus37, 5454545454545454
11, 23-01-2018 15:55:00, ON, Stop3, Company1, Bus37, 5454545454545454
12, 23-01-2018 16:55:00, OFF, Stop1, Company1, Bus37, 5454545454545454
13, 23-01-2018 16:55:00, ON, Stop2, Company1, Bus37, 630490017740292441
